               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-05-30 22:48:23 |     1 |     1.000e-04 |     2.4721 |          2.0237 |       3.5339 |            1.3168 |            2847
2022-05-30 22:52:16 |     2 |     1.000e-04 |     1.9772 |          1.9697 |       3.8797 |            1.1920 |            2848
2022-05-30 22:56:10 |     3 |     1.000e-04 |     1.8514 |          1.6425 |       2.6678 |            1.1094 |            2848
2022-05-30 23:00:04 |     4 |     1.000e-04 |     1.7451 |          1.6397 |       2.7929 |            1.0823 |            2848
2022-05-30 23:03:56 |     5 |     1.000e-04 |     1.6596 |          1.9646 |       4.6250 |            1.0385 |            2848
2022-05-30 23:07:50 |     6 |     1.000e-04 |     1.6388 |          1.5770 |       2.8363 |            1.0114 |            2848
2022-05-30 23:11:42 |     7 |     1.000e-04 |     1.5753 |          1.5047 |       2.5801 |            0.9892 |            2848
2022-05-30 23:15:33 |     8 |     1.000e-04 |     1.5392 |          1.5201 |       2.7521 |            0.9708 |            2848
2022-05-30 23:19:25 |     9 |     1.000e-04 |     1.5240 |          1.6423 |       3.4086 |            0.9593 |            2848
2022-05-30 23:23:15 |    10 |     1.000e-04 |     1.4831 |          1.4486 |       2.4756 |            0.9543 |            2848
2022-05-30 23:27:07 |    11 |     1.000e-04 |     1.4725 |          1.6156 |       3.2076 |            0.9734 |            2848
2022-05-30 23:30:58 |    12 |     1.000e-04 |     1.4334 |          1.5159 |       2.9705 |            0.9232 |            2848
2022-05-30 23:34:49 |    13 |     1.000e-04 |     1.4249 |          1.4113 |       2.4783 |            0.9154 |            2848
2022-05-30 23:38:40 |    14 |     1.000e-04 |     1.4117 |          1.4884 |       2.8167 |            0.9251 |            2848
2022-05-30 23:42:31 |    15 |     1.000e-04 |     1.3862 |          1.4032 |       2.5401 |            0.8959 |            2848
2022-05-30 23:46:23 |    16 |     1.000e-04 |     1.3787 |          1.3786 |       2.4481 |            0.8891 |            2848
2022-05-30 23:50:15 |    17 |     1.000e-04 |     1.3602 |          1.4862 |       3.0142 |            0.8825 |            2848
2022-05-30 23:54:08 |    18 |     1.000e-04 |     1.3464 |          1.3856 |       2.5205 |            0.8822 |            2848
2022-05-30 23:57:59 |    19 |     1.000e-04 |     1.3359 |          1.4872 |       3.0230 |            0.8826 |            2848
2022-05-31 00:01:50 |    20 |     1.000e-04 |     1.3266 |          1.3253 |       2.3113 |            0.8637 |            2848
2022-05-31 00:05:40 |    21 |     1.000e-04 |     1.3082 |          1.4520 |       2.9357 |            0.8656 |            2848
2022-05-31 00:09:32 |    22 |     1.000e-04 |     1.3021 |          1.3366 |       2.3857 |            0.8614 |            2848
2022-05-31 00:13:22 |    23 |     1.000e-04 |     1.2837 |          1.4492 |       2.9470 |            0.8602 |            2848
2022-05-31 00:17:12 |    24 |     1.000e-04 |     1.2862 |          1.2969 |       2.2892 |            0.8397 |            2848
2022-05-31 00:21:03 |    25 |     1.000e-04 |     1.2728 |          1.3000 |       2.2836 |            0.8443 |            2848
2022-05-31 00:24:54 |    26 |     1.000e-04 |     1.2655 |          1.2943 |       2.2126 |            0.8512 |            2848
2022-05-31 00:28:44 |    27 |     1.000e-04 |     1.2560 |          1.2868 |       2.2029 |            0.8472 |            2848
2022-05-31 00:32:36 |    28 |     1.000e-04 |     1.2414 |          1.3889 |       2.7331 |            0.8430 |            2848
2022-05-31 00:36:26 |    29 |     1.000e-04 |     1.2358 |          1.2218 |       1.9737 |            0.8275 |            2848
2022-05-31 00:40:17 |    30 |     1.000e-04 |     1.2423 |          1.2947 |       2.3184 |            0.8333 |            2848
2022-05-31 00:44:08 |    31 |     1.000e-04 |     1.2188 |          1.3117 |       2.3858 |            0.8353 |            2848
2022-05-31 00:47:58 |    32 |     1.000e-04 |     1.2062 |          1.2271 |       2.0306 |            0.8222 |            2848
2022-05-31 00:51:48 |    33 |     1.000e-04 |     1.1995 |          1.2369 |       2.0672 |            0.8248 |            2848
2022-05-31 00:55:43 |    34 |     1.000e-04 |     1.2037 |          1.2709 |       2.2735 |            0.8154 |            2848
2022-05-31 00:59:37 |    35 |     1.000e-04 |     1.1939 |          1.2066 |       2.0644 |            0.7948 |            2848
2022-05-31 01:03:28 |    36 |     1.000e-04 |     1.1834 |          1.2018 |       1.9602 |            0.8107 |            2848
2022-05-31 01:07:18 |    37 |     1.000e-04 |     1.1770 |          1.2571 |       2.1588 |            0.8251 |            2848
2022-05-31 01:11:08 |    38 |     1.000e-04 |     1.1771 |          1.4715 |       3.3112 |            0.8087 |            2848
2022-05-31 01:14:59 |    39 |     1.000e-04 |     1.1705 |          1.2599 |       2.3715 |            0.7842 |            2848
2022-05-31 01:18:48 |    40 |     1.000e-04 |     1.1653 |          1.1985 |       1.9829 |            0.8017 |            2848
2022-05-31 01:22:41 |    41 |     1.000e-04 |     1.1672 |          1.1336 |       1.7032 |            0.7945 |            2848
2022-05-31 01:26:32 |    42 |     1.000e-04 |     1.1627 |          1.2497 |       2.3306 |            0.7835 |            2848
2022-05-31 01:30:26 |    43 |     1.000e-04 |     1.1500 |          1.1881 |       1.9508 |            0.7994 |            2848
2022-05-31 01:34:18 |    44 |     1.000e-04 |     1.1385 |          1.1740 |       1.8823 |            0.7982 |            2848
2022-05-31 01:38:09 |    45 |     1.000e-04 |     1.1394 |          1.2126 |       2.0552 |            0.8002 |            2848
2022-05-31 01:42:01 |    46 |     1.000e-04 |     1.1376 |          1.2809 |       2.3974 |            0.8020 |            2848
2022-05-31 01:45:53 |    47 |     1.000e-04 |     1.1392 |          1.1580 |       1.8251 |            0.7933 |            2848
2022-05-31 01:49:43 |    48 |     1.000e-04 |     1.1234 |          1.1879 |       1.8762 |            0.8137 |            2848
2022-05-31 01:53:34 |    49 |     1.000e-04 |     1.1171 |          1.2700 |       2.5070 |            0.7690 |            2848
2022-05-31 01:57:25 |    50 |     1.000e-04 |     1.1143 |          1.3626 |       2.8778 |            0.7873 |            2848
2022-05-31 02:01:17 |    51 |     1.000e-04 |     1.1158 |          1.2144 |       2.0896 |            0.7977 |            2848
2022-05-31 02:05:09 |    52 |     1.000e-04 |     1.1087 |          1.1337 |       1.7931 |            0.7759 |            2848
2022-05-31 02:08:59 |    53 |     1.000e-04 |     1.1033 |          1.2052 |       2.1462 |            0.7777 |            2848
2022-05-31 02:12:50 |    54 |     1.000e-04 |     1.1051 |          1.2739 |       2.3931 |            0.7957 |            2848
2022-05-31 02:16:40 |    55 |     1.000e-04 |     1.1063 |          1.1649 |       1.9010 |            0.7856 |            2848
2022-05-31 02:20:33 |    56 |     1.000e-04 |     1.1030 |          1.3813 |       2.8881 |            0.8035 |            2848
2022-05-31 02:24:24 |    57 |     1.000e-04 |     1.0832 |          1.3781 |       2.9689 |            0.7839 |            2848
2022-05-31 02:28:14 |    58 |     1.000e-04 |     1.0903 |          1.1438 |       1.8704 |            0.7706 |            2848
2022-05-31 02:32:07 |    59 |     1.000e-04 |     1.0915 |          1.1281 |       1.7872 |            0.7729 |            2848
2022-05-31 02:35:59 |    60 |     1.000e-04 |     1.0947 |          1.1607 |       1.9439 |            0.7719 |            2848
2022-05-31 02:39:49 |    61 |     1.000e-04 |     1.0746 |          1.2283 |       2.2620 |            0.7761 |            2848
2022-05-31 02:43:42 |    62 |     1.000e-04 |     1.0711 |          1.1633 |       1.9106 |            0.7830 |            2848
2022-05-31 02:47:32 |    63 |     1.000e-04 |     1.0809 |          1.1387 |       1.9021 |            0.7596 |            2848
2022-05-31 02:51:22 |    64 |     1.000e-04 |     1.0567 |          1.1625 |       1.8417 |            0.7951 |            2848
2022-05-31 02:55:14 |    65 |     1.000e-04 |     1.0645 |          1.1572 |       1.7550 |            0.8082 |            2848
2022-05-31 02:59:05 |    66 |     1.000e-04 |     1.0648 |          1.1373 |       1.7521 |            0.7883 |            2848
2022-05-31 03:02:56 |    67 |     1.000e-04 |     1.0655 |          1.2599 |       2.4067 |            0.7790 |            2848
2022-05-31 03:06:48 |    68 |     1.000e-04 |     1.0570 |          1.1614 |       1.9805 |            0.7666 |            2848
2022-05-31 03:10:39 |    69 |     1.000e-04 |     1.0537 |          1.3135 |       2.7594 |            0.7615 |            2848
2022-05-31 03:14:30 |    70 |     1.000e-04 |     1.0601 |          1.2483 |       2.3062 |            0.7869 |            2848
2022-05-31 03:18:05 |    71 |     1.000e-04 |     1.0528 |          1.2523 |       2.2249 |            0.8093 |            2848
2022-05-31 03:21:35 |    72 |     1.000e-04 |     1.0533 |          1.2000 |       2.1447 |            0.7708 |            2848
2022-05-31 03:24:57 |    73 |     1.000e-04 |     1.0442 |          1.2631 |       2.4323 |            0.7768 |            2848
2022-05-31 03:28:28 |    74 |     1.000e-04 |     1.0390 |          1.2343 |       2.2618 |            0.7828 |            2848
2022-05-31 03:31:47 |    75 |     1.000e-04 |     1.0410 |          1.1560 |       1.9882 |            0.7598 |            2848
2022-05-31 03:35:15 |    76 |     1.000e-04 |     1.0360 |          1.1046 |       1.6651 |            0.7728 |            2848
2022-05-31 03:38:43 |    77 |     1.000e-04 |     1.0380 |          1.1437 |       1.8317 |            0.7791 |            2848
2022-05-31 03:42:02 |    78 |     1.000e-04 |     1.0261 |          1.1487 |       1.9952 |            0.7506 |            2848
2022-05-31 03:45:21 |    79 |     1.000e-04 |     1.0281 |          1.1727 |       2.1049 |            0.7512 |            2848
2022-05-31 03:48:40 |    80 |     1.000e-04 |     1.0257 |          1.0562 |       1.6038 |            0.7368 |            2848
2022-05-31 03:51:59 |    81 |     1.000e-04 |     1.0201 |          1.2696 |       2.5926 |            0.7529 |            2848
2022-05-31 03:55:18 |    82 |     1.000e-04 |     1.0170 |          1.1709 |       2.0673 |            0.7586 |            2848
2022-05-31 03:58:37 |    83 |     1.000e-04 |     1.0114 |          1.2586 |       2.5080 |            0.7578 |            2848
2022-05-31 04:01:56 |    84 |     1.000e-04 |     1.0214 |          1.1341 |       1.8653 |            0.7623 |            2848
2022-05-31 04:05:15 |    85 |     1.000e-04 |     1.0113 |          1.1619 |       1.9020 |            0.7833 |            2848
2022-05-31 04:08:34 |    86 |     1.000e-04 |     1.0042 |          1.1114 |       1.8294 |            0.7465 |            2848
2022-05-31 04:11:53 |    87 |     1.000e-04 |     1.0079 |          1.1260 |       1.7906 |            0.7695 |            2848
2022-05-31 04:15:12 |    88 |     1.000e-04 |     1.0049 |          1.1226 |       1.9094 |            0.7422 |            2848
2022-05-31 04:18:31 |    89 |     1.000e-04 |     0.9981 |          1.0953 |       1.8100 |            0.7339 |            2848
2022-05-31 04:21:50 |    90 |     1.000e-04 |     1.0027 |          1.1132 |       1.8225 |            0.7507 |            2848
2022-05-31 04:25:09 |    91 |     1.000e-04 |     1.0021 |          1.0810 |       1.7205 |            0.7376 |            2848
2022-05-31 04:28:27 |    92 |     1.000e-04 |     1.0020 |          1.0780 |       1.6852 |            0.7427 |            2848
2022-05-31 04:31:46 |    93 |     1.000e-04 |     1.0007 |          1.0734 |       1.7367 |            0.7277 |            2848
2022-05-31 04:35:04 |    94 |     1.000e-04 |     0.9879 |          1.0839 |       1.5290 |            0.7791 |            2848
2022-05-31 04:38:23 |    95 |     1.000e-04 |     0.9986 |          1.1373 |       1.9206 |            0.7548 |            2848
2022-05-31 04:41:42 |    96 |     1.000e-04 |     1.0043 |          1.0545 |       1.6060 |            0.7341 |            2848
2022-05-31 04:45:02 |    97 |     1.000e-04 |     0.9834 |          1.0935 |       1.8392 |            0.7273 |            2848
2022-05-31 04:48:20 |    98 |     1.000e-04 |     0.9848 |          1.2177 |       2.3845 |            0.7419 |            2848
